,name,date_of_emergence_min,adults_id,well_number,larviposition_id,larviposition_date,larviposition_number,weekend,abortion_stage,abortion,wet_weight,pupa_length,pupa_width,emerged,date_emerged,date_of_death,weekend_death,sex,treatment,weight_emerged,dry_weight,residual_dry_weight,mAgeDays,fat,mAgeBins,pred1,pred2
1061,Control,27/07/2018,62,f2,1068,09/10/2018,5,0,0,0,30.9,5.87,3.39,1,09/11/2018,16/11/2018,0,m,measurment and emergence,30.9,NA,NA,74,NA,72,35.4102628,33.29878583
1062,Control,27/07/2018,63,f3,1069,09/10/2018,6,0,0,0,34.9,NA,NA,0,NA,NA,0,NA,fat analysis,34.9,12.7,8.1,74,4.6,72,35.4102628,34.52836031
1063,Control,27/07/2018,74,g2,1070,09/10/2018,6,0,0,0,35.3,5.98,3.63,1,08/11/2018,19/11/2018,1,f,measurment and emergence,35.3,NA,NA,74,NA,72,35.4102628,35.95850336
1064,Control,27/07/2018,77,g5,1071,09/10/2018,6,0,0,0,33.9,NA,NA,1,06/11/2018,14/11/2018,0,f,emergence only,33.9,NA,NA,74,NA,72,35.4102628,36.43679909
1065,Control,27/07/2018,88,h4,1072,09/10/2018,6,0,0,0,31.1,NA,NA,0,NA,NA,0,NA,fat analysis,31.1,NA,NA,74,NA,72,35.4102628,35.12700718
1081,Control,27/07/2018,5,a5,1088,10/10/2018,5,0,0,0,41.2,6.72,3.86,1,12/11/2018,23/11/2018,0,m,measurment and emergence,41.2,NA,NA,75,NA,72,35.33221448,38.34278399
1082,Control,27/07/2018,30,c6,1089,10/10/2018,6,0,0,0,40.1,NA,NA,1,12/11/2018,21/11/2018,0,m,emergence only,40.1,NA,NA,75,NA,72,35.33221448,37.66884056
1083,Control,27/07/2018,54,e6,1090,10/10/2018,6,0,0,0,37.6,6.27,3.63,1,12/11/2018,21/11/2018,0,m,measurment and emergence,37.6,NA,NA,75,NA,72,35.33221448,35.82315265
1084,Control,27/07/2018,65,f5,1091,10/10/2018,6,0,0,0,38.3,NA,NA,0,NA,NA,0,NA,fat analysis,38.3,12.7,7.9,75,4.8,72,35.33221448,37.61389486
1085,Control,27/07/2018,70,f10,1092,10/10/2018,5,0,0,0,39.7,6.23,3.58,1,09/11/2018,19/11/2018,1,f,measurment and emergence,39.7,NA,NA,75,NA,72,35.33221448,37.34967784
1086,Control,27/07/2018,83,g11,1093,10/10/2018,6,0,0,0,34.5,6.09,3.51,1,08/11/2018,16/11/2018,0,f,measurment and emergence,34.5,NA,NA,75,NA,72,35.33221448,34.48527085
1096,Control,27/07/2018,52,e4,1104,11/10/2018,6,0,0,0,34.7,6.08,3.5,1,12/11/2018,21/11/2018,0,m,measurment and emergence,34.7,NA,NA,76,NA,72,35.24613904,36.59845928
1097,Control,27/07/2018,71,f11,1105,11/10/2018,6,0,0,0,34.7,NA,NA,0,NA,NA,0,NA,fat analysis,34.7,13.1,7.9,76,5.2,72,35.24613904,37.23753859
1108,Control,27/07/2018,10,a10,1116,12/10/2018,6,0,0,0,36.1,NA,NA,0,NA,NA,0,NA,fat analysis,36.1,13.8,8.6,77,5.2,72,35.1520365,34.12656649
1110,Control,27/07/2018,42,d6,1118,12/10/2018,6,0,0,0,38.4,NA,NA,0,NA,NA,0,NA,fat analysis,38.4,14.9,9.7,77,5.2,72,35.1520365,37.38314946
1111,Control,27/07/2018,59,e11,1119,12/10/2018,6,0,0,0,36.8,NA,NA,0,NA,NA,0,NA,fat analysis,36.8,NA,NA,77,NA,72,35.1520365,35.64242669
1112,Control,27/07/2018,96,h12,1120,12/10/2018,6,0,0,0,38.4,NA,NA,0,NA,NA,0,NA,fat analysis,38.4,14.8,9.2,77,5.6,72,35.1520365,36.3071956
1124,Control,27/07/2018,1,a1,1132,13/10/2018,6,1,0,0,33,NA,NA,1,12/11/2018,21/11/2018,0,f,emergence only,33,NA,NA,78,NA,82,35.04990684,32.31697928
1125,Control,27/07/2018,18,b6,1133,13/10/2018,6,1,0,0,35,NA,NA,1,12/11/2018,22/11/2018,0,f,emergence only,35,NA,NA,78,NA,82,35.04990684,36.02848896
1126,Control,27/07/2018,19,b7,1134,15/10/2018,6,1,0,0,35.7,NA,NA,0,NA,NA,0,NA,fat analysis,35.7,13.1,8.9,80,4.2,82,34.82156619,33.54449778
1127,Control,27/07/2018,20,b8,1135,15/10/2018,6,1,0,0,31.7,NA,NA,1,19/11/2018,26/11/2018,1,m,emergence only,31.7,NA,NA,80,NA,82,34.82156619,32.96177724
1128,Control,27/07/2018,39,d3,1136,15/10/2018,4,1,0,0,35.6,6.27,3.51,1,19/11/2018,27/11/2018,0,m,measurment and emergence,35.6,NA,NA,80,NA,82,34.82156619,34.62128191
1129,Control,27/07/2018,40,d4,1137,15/10/2018,6,1,0,0,38.8,6.07,3.71,1,19/11/2018,27/11/2018,0,m,measurment and emergence,38.8,NA,NA,80,NA,82,34.82156619,36.72624138
1130,Control,27/07/2018,44,d8,1138,14/10/2018,6,1,0,0,39.7,6.47,3.57,1,15/11/2018,26/11/2018,1,m,measurment and emergence,39.7,NA,NA,79,NA,82,34.93975007,36.01489506
1131,Control,27/07/2018,58,e10,1139,13/10/2018,6,1,0,0,35.3,6.03,3.71,1,13/11/2018,20/11/2018,0,f,measurment and emergence,35.3,NA,NA,78,NA,82,35.04990684,37.10188039
1132,Control,27/07/2018,60,e12,1140,15/10/2018,6,1,0,0,38.3,NA,NA,1,14/11/2018,26/11/2018,1,f,emergence only,38.3,NA,NA,80,NA,82,34.82156619,34.26827357
1133,Control,27/07/2018,95,h11,1141,15/10/2018,6,1,0,0,35.4,6.14,3.37,1,14/11/2018,26/11/2018,1,m,measurment and emergence,35.4,NA,NA,80,NA,82,34.82156619,34.61210399
1134,Control,27/07/2018,64,f4,1142,14/10/2018,6,1,0,0,34.1,6.2,3.53,1,13/11/2018,21/11/2018,0,f,measurment and emergence,34.1,NA,NA,79,NA,82,34.93975007,36.18891847
1135,Control,27/07/2018,75,g3,1143,14/10/2018,6,1,0,0,33.8,NA,NA,1,14/11/2018,23/11/2018,0,f,emergence only,33.8,NA,NA,79,NA,82,34.93975007,33.52121735
1136,Control,27/07/2018,78,g6,1144,13/10/2018,6,1,0,0,33.4,NA,NA,1,13/11/2018,23/11/2018,0,f,emergence only,33.4,NA,NA,78,NA,82,35.04990684,35.22576085
1137,Control,27/07/2018,80,g8,1145,14/10/2018,6,1,0,0,36,NA,NA,0,NA,NA,0,NA,fat analysis,36,12.2,8.7,79,3.5,82,34.93975007,35.12253703
1138,Control,27/07/2018,93,h9,1146,14/10/2018,6,1,0,0,21.1,NA,NA,1,14/11/2018,22/11/2018,0,m,emergence only,21.1,NA,NA,79,NA,82,34.93975007,31.08960933
1139,Control,27/07/2018,94,h10,1147,15/10/2018,6,1,0,0,35.8,5.9,3.77,1,14/11/2018,26/11/2018,1,f,measurment and emergence,35.8,NA,NA,80,NA,82,34.82156619,35.29503569
1140,Control,27/07/2018,61,f1,1148,15/10/2018,6,1,0,0,31.6,5.95,3.38,1,14/11/2018,23/11/2018,0,f,measurment and emergence,31.6,NA,NA,80,NA,82,34.82156619,33.44664517
1141,Control,27/07/2018,23,b11,1149,14/10/2018,6,1,0,0,35,NA,NA,1,14/11/2018,26/11/2018,1,f,emergence only,35,NA,NA,79,NA,82,34.93975007,36.88624906
1169,Control,27/07/2018,66,f6,1177,15/10/2018,6,1,0,0,35.6,NA,NA,1,14/11/2018,26/11/2018,1,f,emergence only,35.6,NA,NA,80,NA,82,34.82156619,33.76237996
1174,Control,27/07/2018,12,a12,1182,16/10/2018,7,0,0,0,35.4,NA,NA,0,NA,NA,0,NA,fat analysis,35.4,12.1,7.8,81,4.3,82,34.6953552,35.23513865
1175,Control,27/07/2018,13,b1,1183,16/10/2018,6,0,0,0,36.1,6.24,3.51,1,19/11/2018,26/11/2018,1,m,measurment and emergence,36.1,NA,NA,81,NA,82,34.6953552,35.07627031
1176,Control,27/07/2018,26,c2,1184,16/10/2018,6,0,0,0,34.3,NA,NA,0,NA,NA,0,NA,fat analysis,34.3,12,7.9,81,4.1,82,34.6953552,33.09206367
1177,Control,27/07/2018,46,d10,1185,16/10/2018,7,0,0,0,35,NA,NA,0,NA,NA,0,NA,fat analysis,35,13,8.7,81,4.3,82,34.6953552,36.18042819
1178,Control,27/07/2018,48,d12,1186,16/10/2018,6,0,0,0,36.5,NA,NA,0,NA,NA,0,NA,emergence only,NA,NA,NA,81,NA,82,34.6953552,36.08856705
1179,Control,27/07/2018,57,e9,1187,16/10/2018,6,0,0,0,38.1,NA,NA,1,16/11/2018,26/11/2018,1,f,emergence only,38.1,NA,NA,81,NA,82,34.6953552,35.55060037
1180,Control,27/07/2018,67,f7,1188,16/10/2018,7,0,0,0,36.2,NA,NA,0,NA,NA,0,NA,fat analysis,36.2,13.4,8.3,81,5.1,82,34.6953552,34.28937673
1181,Control,27/07/2018,72,f12,1189,16/10/2018,6,0,0,0,38.3,6.2,3.73,1,14/11/2018,26/11/2018,1,f,measurment and emergence,38.3,NA,NA,81,NA,82,34.6953552,38.92055732
1182,Control,27/07/2018,84,g12,1190,16/10/2018,6,0,0,0,35.1,NA,NA,0,NA,NA,0,NA,fat analysis,35.1,11.9,NA,81,NA,82,34.6953552,33.8195045
1183,Control,27/07/2018,87,h3,1191,16/10/2018,7,0,0,0,32.9,5.72,3.65,1,15/11/2018,26/11/2018,1,f,measurment and emergence,32.9,NA,NA,81,NA,82,34.6953552,33.85790182
1184,Control,27/07/2018,95,h11,1192,16/10/2018,5,0,0,0,35.4,6.31,3.56,1,14/11/2018,26/11/2018,1,f,measurment and emergence,35.4,NA,NA,81,NA,82,34.6953552,34.4971828
1206,Control,27/07/2018,4,a4,1214,17/10/2018,6,0,0,0,33.7,NA,NA,1,14/11/2018,26/11/2018,1,f,emergence only,33.7,NA,NA,82,NA,82,34.56111709,32.23657753
1210,Control,27/07/2018,2,a2,1218,18/10/2018,7,0,0,0,38,NA,NA,0,NA,NA,0,NA,fat analysis,38,13.9,NA,83,NA,82,34.41885187,37.88484444
1211,Control,27/07/2018,6,a6,1219,18/10/2018,7,0,0,0,28.7,5.83,3.35,1,19/11/2018,27/11/2018,0,m,measurment and emergence,28.7,NA,NA,83,NA,82,34.41885187,32.15419395
1212,Control,27/07/2018,8,a8,1220,18/10/2018,6,0,0,0,34.3,5.9,3.68,1,19/11/2018,28/11/2018,0,f,measurment and emergence,34.3,NA,NA,83,NA,82,34.41885187,34.17920929
1213,Control,27/07/2018,16,b4,1221,18/10/2018,7,0,0,0,33.8,5.9,3.6,1,19/11/2018,26/11/2018,1,f,measurment and emergence,33.8,NA,NA,83,NA,82,34.41885187,35.99595036
1214,Control,27/07/2018,17,b5,1222,18/10/2018,6,0,0,0,32.7,5.87,3.52,1,19/11/2018,27/11/2018,0,f,measurment and emergence,32.7,NA,NA,83,NA,82,34.41885187,32.98435043
1215,Control,27/07/2018,27,c3,1223,18/10/2018,7,0,0,0,31.3,NA,NA,0,NA,NA,0,NA,fat analysis,31.3,10.7,7.3,83,3.4,82,34.41885187,34.03735373
1216,Control,27/07/2018,43,d7,1224,18/10/2018,7,0,0,0,34.9,5.97,3.58,1,19/11/2018,27/11/2018,0,f,measurment and emergence,34.9,NA,NA,83,NA,82,34.41885187,34.09318975
1217,Control,27/07/2018,55,e7,1225,18/10/2018,7,0,0,0,33.9,6.15,3.44,1,19/11/2018,28/11/2018,0,f,measurment and emergence,33.9,NA,NA,83,NA,82,34.41885187,36.04861836
1218,Control,27/07/2018,81,g9,1226,18/10/2018,6,0,0,0,30.7,NA,NA,1,19/11/2018,27/11/2018,0,f,emergence only,30.7,NA,NA,83,NA,82,34.41885187,33.94145969
1219,Control,27/07/2018,89,h5,1227,18/10/2018,6,0,0,0,33.4,6.17,3.46,1,19/11/2018,26/11/2018,1,m,measurment and emergence,33.4,NA,NA,83,NA,82,34.41885187,36.1005439
1220,Control,27/07/2018,91,h7,1228,18/10/2018,7,0,0,0,40.8,NA,NA,0,NA,NA,0,NA,fat analysis,40.8,15.2,15,83,0.2,82,34.41885187,39.2049535
1221,Control,27/07/2018,36,c12,1229,18/10/2018,7,0,0,0,34.3,NA,NA,0,NA,NA,0,NA,fat analysis,34.3,12.2,8.1,83,4.1,82,34.41885187,35.10292466
1239,Control,27/07/2018,41,d5,1247,19/10/2018,6,0,0,0,27.3,5.75,3.22,0,NA,NA,0,NA,measurment and emergence,NA,NA,NA,84,NA,82,34.26855954,31.29931653
1240,Control,27/07/2018,86,h2,1248,19/10/2018,7,0,0,0,30.8,NA,NA,0,NA,NA,0,NA,fat analysis,30.8,11,7.1,84,3.9,82,34.26855954,32.59236562
1241,Control,27/07/2018,90,h6,1249,19/10/2018,7,0,0,0,33.6,5.93,3.53,1,16/11/2018,27/11/2018,0,f,measurment and emergence,33.6,NA,NA,84,NA,82,34.26855954,33.04735798
1255,Control,27/07/2018,30,c6,1263,21/10/2018,7,1,0,0,36.1,NA,NA,0,NA,NA,0,NA,fat analysis,36.1,13.5,8.7,86,4.8,82,33.94389355,36.23592537
1256,Control,27/07/2018,37,d1,1264,22/10/2018,5,1,0,0,27,NA,NA,0,NA,NA,0,NA,fat analysis,27,9.4,NA,87,NA,82,33.76951988,28.72797161
1257,Control,27/07/2018,51,e3,1265,22/10/2018,3,1,0,0,27,NA,NA,0,NA,NA,0,NA,fat analysis,27,7.4,NA,87,NA,82,33.76951988,28.36614923
1258,Control,27/07/2018,52,e4,1266,21/10/2018,7,1,0,0,35.4,NA,NA,1,19/11/2018,29/11/2018,0,f,emergence only,35.4,NA,NA,86,NA,82,33.94389355,35.5121284
1259,Control,27/07/2018,54,e6,1267,21/10/2018,7,1,0,0,34.4,5.94,3.58,1,19/11/2018,29/11/2018,0,f,measurment and emergence,34.4,NA,NA,86,NA,82,33.94389355,34.46802698
1260,Control,27/07/2018,59,e11,1268,22/10/2018,7,1,0,0,34.4,NA,NA,0,NA,NA,0,NA,fat analysis,34.4,12.4,7.8,87,4.6,82,33.76951988,34.23102495
1261,Control,27/07/2018,65,f5,1269,20/10/2018,7,1,0,0,36.3,NA,NA,0,NA,NA,0,NA,fat analysis,36.3,13.5,8.9,85,4.6,82,34.1102401,36.26874803
1262,Control,27/07/2018,71,f11,1270,21/10/2018,7,1,0,0,37.1,6.19,3.57,1,23/11/2018,03/12/2018,1,m,measurment and emergence,37.1,NA,NA,86,NA,82,33.94389355,36.36281807
1263,Control,27/07/2018,74,g2,1271,20/10/2018,7,1,0,0,32.5,NA,NA,1,20/11/2018,30/11/2018,0,m,emergence only,32.5,NA,NA,85,NA,82,34.1102401,34.38583096
1264,Control,27/07/2018,83,g11,1272,20/10/2018,7,1,0,0,33.6,6.13,3.56,1,19/11/2018,28/11/2018,0,f,measurment and emergence,33.6,NA,NA,85,NA,82,34.1102401,33.17747944
1281,Control,27/07/2018,24,b12,1289,23/10/2018,7,0,0,0,28,5.74,3.14,1,23/11/2018,03/12/2018,1,m,measurment and emergence,28,NA,NA,88,NA,92,33.58711911,31.60484818
1282,Control,27/07/2018,15,b3,1290,23/10/2018,6,0,0,0,34.1,6.02,3.32,1,26/11/2018,03/12/2018,1,m,measurment and emergence,34.1,NA,NA,88,NA,92,33.58711911,33.32099829
1283,Control,27/07/2018,23,b11,1291,23/10/2018,7,0,0,0,39.8,6.17,3.67,1,21/11/2018,03/12/2018,1,f,measurment and emergence,39.8,NA,NA,88,NA,92,33.58711911,35.75674032
1284,Control,27/07/2018,42,d6,1292,23/10/2018,7,0,0,0,38,6.4,3.6,1,23/11/2018,03/12/2018,1,m,measurment and emergence,38,NA,NA,88,NA,92,33.58711911,36.30495273
1285,Control,27/07/2018,58,e10,1293,23/10/2018,7,0,0,0,39.2,6.22,3.6,1,26/11/2018,04/12/2018,0,m,measurment and emergence,39.2,NA,NA,88,NA,92,33.58711911,36.14035942
1286,Control,27/07/2018,96,h12,1294,23/10/2018,7,0,0,0,34.9,NA,NA,1,26/11/2018,05/12/2018,0,m,emergence only,34.9,NA,NA,88,NA,92,33.58711911,35.11045413
1321,Control,27/07/2018,1,a1,1329,25/10/2018,7,0,0,0,27.3,5.56,3.25,1,23/11/2018,03/12/2018,1,f,measurment and emergence,27.3,NA,NA,90,NA,92,33.19823621,29.76376358
1323,Control,27/07/2018,49,e1,1331,25/10/2018,7,0,0,0,28.6,6.08,2.95,1,26/11/2018,05/12/2018,0,m,measurment and emergence,28.6,NA,NA,90,NA,92,33.19823621,30.31285197
1325,Control,27/07/2018,93,h9,1333,25/10/2018,7,0,0,0,31.1,6.13,3.22,1,26/11/2018,04/12/2018,0,m,measurment and emergence,31.1,NA,NA,90,NA,92,33.19823621,28.70332557
1337,Control,27/07/2018,3,a3,1345,26/10/2018,5,0,0,0,29.9,5.94,3.29,1,26/11/2018,06/12/2018,0,m,measurment and emergence,29.9,NA,NA,91,NA,92,32.9917541,31.35640468
1338,Control,27/07/2018,31,c7,1346,26/10/2018,8,0,0,0,35.1,5.96,3.73,1,27/11/2018,06/12/2018,0,m,measurment and emergence,35.1,NA,NA,91,NA,92,32.9917541,34.774108
1339,Control,27/07/2018,39,d3,1347,26/10/2018,5,0,0,0,33.3,5.9,3.49,1,26/11/2018,05/12/2018,0,f,measurment and emergence,33.3,NA,NA,91,NA,92,32.9917541,32.65190515
1340,Control,27/07/2018,46,d10,1348,26/10/2018,8,0,0,0,37.4,NA,NA,1,26/11/2018,06/12/2018,0,f,emergence only,37.4,NA,NA,91,NA,92,32.9917541,34.63964955
1341,Control,27/07/2018,87,h3,1349,26/10/2018,8,0,0,0,34.1,5.89,3.64,1,26/11/2018,05/12/2018,0,f,measurment and emergence,34.1,NA,NA,91,NA,92,32.9917541,32.16604885
1342,Control,27/07/2018,94,h10,1350,26/10/2018,7,0,0,0,36.2,NA,NA,1,26/11/2018,06/12/2018,0,m,emergence only,36.2,NA,NA,91,NA,92,32.9917541,33.99543926
1344,Control,27/07/2018,63,f3,1352,26/10/2018,7,0,0,0,32,NA,NA,0,NA,NA,0,NA,fat analysis,32,12,7.7,91,4.3,92,32.9917541,31.83761232
1345,Control,27/07/2018,71,f11,1353,26/10/2018,8,0,0,0,39.8,NA,NA,1,26/11/2018,10/12/2018,1,m,emergence only,39.8,NA,NA,91,NA,92,32.9917541,35.63286657
1356,Control,27/07/2018,69,f9,1364,26/10/2018,8,0,0,0,33,NA,NA,1,26/11/2018,05/12/2018,0,f,emergence only,33,NA,NA,91,NA,92,32.9917541,33.12914933
1359,Control,27/07/2018,8,a8,1367,29/10/2018,7,1,0,0,31.5,5.75,3.39,1,29/11/2018,07/12/2018,0,m,measurment and emergence,31.5,NA,NA,94,NA,92,32.32414509,32.08585111
1360,Control,27/07/2018,11,a11,1368,28/10/2018,8,1,0,0,36,NA,NA,0,NA,NA,0,NA,fat analysis,36,13.6,8.7,93,4.9,92,32.55470854,34.62602582
1361,Control,27/07/2018,13,b1,1369,27/10/2018,7,1,0,0,33.6,6.04,3.46,1,27/11/2018,07/12/2018,0,m,measurment and emergence,33.6,NA,NA,92,NA,92,32.77724488,33.55853776
1362,Control,27/07/2018,17,b5,1370,29/10/2018,7,1,0,0,31.8,6.03,3.31,1,27/11/2018,06/12/2018,0,f,measurment and emergence,31.8,NA,NA,94,NA,92,32.32414509,30.93241842
1363,Control,27/07/2018,43,d7,1371,29/10/2018,8,1,0,0,32.2,NA,NA,1,29/11/2018,06/12/2018,0,m,emergence only,32.2,NA,NA,94,NA,92,32.32414509,31.90108235
1364,Control,27/07/2018,55,e7,1372,28/10/2018,8,1,0,0,37.4,6.35,3.46,1,27/11/2018,06/12/2018,0,f,measurment and emergence,37.4,NA,NA,93,NA,92,32.55470854,34.37843352
1365,Control,27/07/2018,60,e12,1373,29/10/2018,7,1,0,0,30.2,NA,NA,0,NA,NA,0,NA,fat analysis,30.2,10.6,7.1,94,3.5,92,32.32414509,31.65082393
1366,Control,27/07/2018,67,f7,1374,27/10/2018,8,1,0,0,28.8,NA,NA,0,NA,NA,0,NA,fat analysis,28.8,9.6,NA,92,NA,92,32.77724488,31.85768731
1367,Control,27/07/2018,89,h5,1375,29/10/2018,7,1,0,0,36.7,NA,NA,1,29/11/2018,07/12/2018,0,m,emergence only,36.7,NA,NA,94,NA,92,32.32414509,33.79797636
1368,Control,27/07/2018,91,h7,1376,28/10/2018,8,1,0,0,37.9,6.14,3.42,1,27/11/2018,07/12/2018,0,f,measurment and emergence,37.9,NA,NA,93,NA,92,32.55470854,37.46806706
1369,Control,27/07/2018,95,h11,1377,27/10/2018,7,1,0,0,31.1,NA,NA,0,NA,NA,0,NA,fat analysis,31.1,11.2,7.4,92,3.8,92,32.77724488,32.70454916
1373,Control,27/07/2018,56,e8,1382,28/10/2018,7,1,0,0,31.3,NA,NA,0,NA,NA,0,NA,fat analysis,31.3,11.2,7.1,93,4.1,92,32.55470854,31.62700892
1374,Control,27/07/2018,7,a7,1383,28/10/2018,5,1,0,0,25.3,NA,NA,0,NA,NA,0,NA,fat analysis,25.3,9.1,NA,93,NA,92,32.55470854,29.06432137
1400,Control,27/07/2018,32,c8,1410,30/10/2018,7,0,0,0,37.8,6,3.69,0,NA,NA,0,NA,measurment and emergence,NA,NA,NA,95,NA,92,32.08555453,36.60709497
1414,Control,27/07/2018,48,d12,1424,31/10/2018,7,0,0,0,36.8,NA,NA,1,03/12/2018,10/12/2018,1,m,emergence only,36.8,NA,NA,96,NA,92,31.83893685,33.88164122
1415,Control,27/07/2018,52,e4,1425,31/10/2018,8,0,0,0,36.5,NA,NA,1,03/12/2018,11/12/2018,0,m,emergence only,36.5,NA,NA,96,NA,92,31.83893685,33.63670481
1430,Control,27/07/2018,59,e11,1440,01/11/2018,8,0,0,0,32.3,NA,NA,0,NA,NA,0,NA,fat analysis,32.3,12.6,7.9,97,4.7,92,31.58429207,32.01919227
1440,Control,27/07/2018,58,e10,1450,02/11/2018,8,0,0,0,35.6,NA,NA,0,NA,NA,0,NA,fat analysis,35.6,12.7,8.3,98,4.4,NA,31.32162017,34.4036546
1441,Control,27/07/2018,88,h4,1451,02/11/2018,8,0,0,0,28.3,6.32,3.11,1,03/12/2018,11/12/2018,0,f,measurment and emergence,28.3,NA,NA,98,NA,NA,31.32162017,29.33397782
